id,user_id,sex,date,moral1,moral2,moral3,moral4,moral5,moral6,moral7,sexual1,sexual2,sexual3,sexual4,sexual5,sexual6,sexual7,pathogen1,pathogen2,pathogen3,pathogen4,pathogen5,pathogen6,pathogen7
1199,0,,2008-10-07 20:22:16,5,6,4,6,5,5,6,4,0,1,0,1,4,5,6,1,6,5,4,5,6
1,1,female,2008-07-10 13:33:31,2,2,1,2,1,1,1,3,1,1,2,1,2,2,3,2,3,3,2,3,3
1599,2,male,2008-10-27 10:13:11,1,1,1,1,,,1,1,,1,,1,,,,,1,,,,
13332,2118,female,2012-01-02 00:18:57,0,1,1,1,1,2,1,4,3,0,6,0,3,5,5,6,4,6,5,5,4
23,2311,male,2008-07-15 10:56:41,4,4,4,4,4,4,4,2,1,2,1,1,1,5,5,5,4,4,5,4,3
1160,3630,male,2008-10-06 14:34:01,1,5,,5,5,5,1,0,5,0,2,0,1,0,6,3,1,1,3,1,0
7980,4458,female,2011-09-05 18:38:38,3,4,3,4,4,3,3,2,4,3,2,1,5,4,6,4,4,3,3,2,3
552,4651,female,2008-08-23 21:03:41,2,4,3,5,5,5,3,4,2,4,6,6,6,2,5,6,6,4,6,1,6
37829,4976,male,2016-03-22 19:20:39,6,6,6,0,6,0,0,0,0,0,0,0,0,0,6,6,6,6,0,0,6
6902,5469,female,2010-12-06 20:46:39,0,1,3,4,1,0,1,3,5,2,4,6,6,5,5,2,4,4,2,2,6
6158,6066,female,2010-04-18 15:46:58,4,5,6,5,5,4,4,3,0,1,6,3,5,3,6,5,5,5,5,5,5
4850,6093,male,2009-11-09 07:08:07,1,2,2,2,1,2,1,1,0,0,3,0,4,4,4,3,1,1,4,1,3
1134,6172,female,2008-10-05 15:29:39,1,4,3,4,3,4,3,1,0,0,1,0,2,1,4,4,3,4,5,4,5
6362,7129,female,2010-06-09 21:34:01,4,4,4,4,3,3,2,4,2,1,3,2,3,6,5,2,0,4,5,5,4
22486,7646,male,2013-06-13 14:39:03,2,5,4,6,5,4,5,2,1,0,2,1,4,3,3,3,2,4,5,1,5
